id,title,overview,tagline,genres_str,genres_names,keywords_names,release_date,release_year,budget,revenue,runtime,popularity,vote_average,vote_count,production_companies_names,cast_names,original_language,status,combined_features
1452,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",,Adventure|Fantasy|Action|Science Fiction,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']","['saving the world', 'dc comics', 'invulnerability', 'sequel', 'superhero', 'based on comic book', 'kryptonite', 'super powers', 'superhuman strength', 'lex luthor']",2006-06-28,2006.0,270000000,391081192,154.0,57.925623,5.4,1400,"['DC Comics', 'Legendary Pictures', 'Warner Bros.']","['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth', 'James Marsden', 'Parker Posey']",en,Released,adventure fantasy action science fiction saving the world dc comics invulnerability sequel superhero brandon routh kevin spacey kate bosworth dc comics legendary pictures
10764,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","For love, for hate, for justice, for revenge.",Adventure|Action|Thriller|Crime,"['Adventure', 'Action', 'Thriller', 'Crime']","['killing', 'undercover', 'secret agent', 'british secret service']",2008-10-30,2008.0,200000000,586090727,106.0,107.928811,6.1,2965,['Eon Productions'],"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Judi Dench', 'Giancarlo Giannini']",en,Released,adventure action thriller crime killing undercover secret agent british secret service daniel craig olga kurylenko mathieu amalric eon productions
58,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",Jack is back!,Adventure|Fantasy|Action,"['Adventure', 'Fantasy', 'Action']","['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship']",2006-06-20,2006.0,200000000,1065659812,151.0,145.847379,7.0,5246,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy']",en,Released,adventure fantasy action witch fortune teller bondage exotic island monster johnny depp orlando bloom keira knightley walt disney pictures jerry bruckheimer films
57201,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",Never Take Off the Mask,Action|Adventure|Western,"['Action', 'Adventure', 'Western']","['texas', 'horse', 'survivor', 'texas ranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'lone ranger']",2013-07-03,2013.0,255000000,89289910,149.0,49.046956,5.9,2311,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil']","['Johnny Depp', 'Armie Hammer', 'William Fichtner', 'Helena Bonham Carter', 'James Badge Dale']",en,Released,action adventure western texas horse survivor texas ranger partner johnny depp armie hammer william fichtner walt disney pictures jerry bruckheimer films
49521,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",You will believe that a man can fly.,Action|Adventure|Fantasy|Science Fiction,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['saving the world', 'dc comics', 'superhero', 'based on comic book', 'superhuman', 'alien invasion', 'reboot', 'super powers', 'dc extended universe']",2013-06-12,2013.0,225000000,662845518,143.0,99.398009,6.5,6359,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment']","['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Kevin Costner', 'Diane Lane']",en,Released,action adventure fantasy science fiction saving the world dc comics superhero based on comic book superhuman henry cavill amy adams michael shannon legendary pictures warner bros.
2454,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",Hope has a new face.,Adventure|Family|Fantasy,"['Adventure', 'Family', 'Fantasy']","['based on novel', 'fictional place', 'brother sister relationship', 'lion', 'human being', 'wretch', 'leap in time', 'matter of life and death', 'faith', 'uncle']",2008-05-15,2008.0,225000000,419651413,150.0,53.978602,6.3,1630,"['Walt Disney', 'Walden Media', 'Stillking Films']","['Ben Barnes', 'William Moseley', 'Anna Popplewell', 'Skandar Keynes', 'Georgie Henley']",en,Released,adventure family fantasy based on novel fictional place brother sister relationship lion human being ben barnes william moseley anna popplewell walt disney walden media
24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Some assembly required.,Science Fiction|Action|Adventure,"['Science Fiction', 'Action', 'Adventure']","['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",2012-04-25,2012.0,220000000,1519557910,143.0,144.448633,7.4,11776,"['Paramount Pictures', 'Marvel Studios']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson']",en,Released,science fiction action adventure new york shield marvel comic superhero based on comic book robert downey jr. chris evans mark ruffalo paramount pictures marvel studios
1865,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",Live Forever Or Die Trying.,Adventure|Action|Fantasy,"['Adventure', 'Action', 'Fantasy']","['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid']",2011-05-14,2011.0,380000000,1045713802,136.0,135.413856,6.4,4948,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']","['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Kevin McNally', 'Geoffrey Rush']",en,Released,adventure action fantasy sea captain mutiny sword prime minister johnny depp penélope cruz ian mcshane walt disney pictures jerry bruckheimer films
41154,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",They are back... in time.,Action|Comedy|Science Fiction,"['Action', 'Comedy', 'Science Fiction']","['time travel', 'time machine', 'alien', 'fictional government agency', 'seeing the future', 'changing history']",2012-05-23,2012.0,225000000,624026776,106.0,52.035179,6.2,4160,"['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ']","['Will Smith', 'Tommy Lee Jones', 'Josh Brolin', 'Michael Stuhlbarg', 'Emma Thompson']",en,Released,action comedy science fiction time travel time machine alien fictional government agency seeing the future will smith tommy lee jones josh brolin amblin entertainment media magik entertainment
122917,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Witness the defining chapter of the Middle-Earth saga,Action|Adventure|Fantasy,"['Action', 'Adventure', 'Fantasy']","['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'dragon', 'battle', 'unlikely friendship', 'epic battle']",2014-12-10,2014.0,250000000,956019788,144.0,120.965743,7.1,4760,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures']","['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Ken Stott', 'Graham McTavish']",en,Released,action adventure fantasy corruption elves dwarves orcs middle-earth (tolkien) martin freeman ian mckellen richard armitage wingnut films new line cinema
1930,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",The untold story begins.,Action|Adventure|Fantasy,"['Action', 'Adventure', 'Fantasy']","['loss of father', 'vigilante', 'serum', 'marvel comic', 'scientific experiment', 'spider bite', 'masked vigilante', 'reboot', 'super powers', 'genetic engineering']",2012-06-27,2012.0,215000000,752215857,136.0,89.866276,6.5,6586,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']","['Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Denis Leary', 'Campbell Scott']",en,Released,action adventure fantasy loss of father vigilante serum marvel comic scientific experiment andrew garfield emma stone rhys ifans columbia pictures laura ziskin productions
20662,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","Rise and rise again, until lambs become lions.",Action|Adventure,"['Action', 'Adventure']","['robin hood', 'archer', 'knight', 'sherwood forest', 'bow and arrow', 'middle ages', 'medieval', 'king of england']",2010-05-12,2010.0,200000000,310669540,140.0,37.668301,6.2,1398,"['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions']","['Russell Crowe', 'Cate Blanchett', 'Max von Sydow', 'William Hurt', 'Mark Strong']",en,Released,action adventure robin hood archer knight sherwood forest bow and arrow russell crowe cate blanchett max von sydow imagine entertainment universal pictures
57158,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",Beyond darkness... beyond desolation... lies the greatest danger of all.,Adventure|Fantasy,"['Adventure', 'Fantasy']","['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'sword and sorcery']",2013-12-11,2013.0,250000000,958400000,161.0,94.370564,7.6,4524,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures']","['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Ken Stott', 'Graham McTavish']",en,Released,adventure fantasy elves dwarves orcs hobbit dragon martin freeman ian mckellen richard armitage wingnut films new line cinema
2268,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",There are worlds beyond our own - the compass will show the way.,Adventure|Fantasy,"['Adventure', 'Fantasy']","['england', 'compass', 'experiment', 'lordship', 'uncle', 'polar bear', 'orphan', 'animal', 'based on young adult novel']",2007-12-04,2007.0,180000000,372234864,113.0,42.990906,5.8,1303,"['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field']","['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig', 'Sam Elliott', 'Eva Green']",en,Released,adventure fantasy england compass experiment lordship uncle dakota blue richards nicole kidman daniel craig new line cinema ingenious film partners
254,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",The eighth wonder of the world.,Adventure|Drama|Action,"['Adventure', 'Drama', 'Action']","['film business', 'screenplay', 'show business', 'film making', 'film producer', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']",2005-12-14,2005.0,207000000,550000000,187.0,61.22601,6.6,2337,"['WingNut Films', 'Universal Pictures', 'Big Primate Pictures']","['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann', 'Colin Hanks']",en,Released,adventure drama action film business screenplay show business film making film producer naomi watts jack black adrien brody wingnut films universal pictures
597,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",Nothing on Earth could come between them.,Drama|Romance|Thriller,"['Drama', 'Romance', 'Thriller']","['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman - poor man', 'love', 'disaster']",1997-11-18,1997.0,200000000,1845034188,194.0,100.025899,7.5,7562,"['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']","['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher', 'Billy Zane', 'Kathy Bates']",en,Released,drama romance thriller shipwreck iceberg ship panic titanic kate winslet leonardo dicaprio frances fisher paramount pictures twentieth century fox film corporation
271110,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",Divided We Fall,Adventure|Action|Science Fiction,"['Adventure', 'Action', 'Science Fiction']","['civil war', 'war', 'marvel comic', 'sequel', 'superhero', 'based on comic book', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",2016-04-27,2016.0,250000000,1153304495,147.0,198.372395,7.1,7241,"['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie']",en,Released,adventure action science fiction civil war war marvel comic sequel superhero chris evans robert downey jr. scarlett johansson studio babelsberg marvel studios
44833,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",The Battle for Earth Begins at Sea,Thriller|Action|Adventure|Science Fiction,"['Thriller', 'Action', 'Adventure', 'Science Fiction']","['fight', 'u.s. navy', 'mind reading', 'hong kong', 'soccer', 'scientist', 'fictional war', 'naval', 'armada', 'battleship']",2012-04-11,2012.0,209000000,303025485,131.0,64.928382,5.5,2114,"['Universal Pictures', 'Hasbro', 'Bluegrass Films']","['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna', 'Brooklyn Decker', 'Tadanobu Asano']",en,Released,thriller action adventure science fiction fight u.s. navy mind reading hong kong soccer taylor kitsch alexander skarsgård rihanna universal pictures hasbro
135397,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",The park is open.,Action|Adventure|Science Fiction|Thriller,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur']",2015-06-09,2015.0,150000000,1513528810,124.0,418.708552,6.5,8662,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures']","['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan', ""Vincent D'Onofrio"", 'Nick Robinson']",en,Released,action adventure science fiction thriller monster dna tyrannosaurus rex velociraptor island chris pratt bryce dallas howard irrfan khan universal studios amblin entertainment
37724,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",Think on your sins.,Action|Adventure|Thriller,"['Action', 'Adventure', 'Thriller']","['spy', 'secret agent', 'sociopath', 'killer', 'art gallery', 'british secret service', 'istanbul turkey', 'imax', 'uzi', 'booby trap']",2012-10-25,2012.0,200000000,1108561013,143.0,93.004993,6.9,7604,['Columbia Pictures'],"['Daniel Craig', 'Judi Dench', 'Javier Bardem', 'Ralph Fiennes', 'Naomie Harris']",en,Released,action adventure thriller spy secret agent sociopath killer art gallery daniel craig judi dench javier bardem columbia pictures
558,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",There's a hero in all of us.,Action|Adventure|Fantasy,"['Action', 'Adventure', 'Fantasy']","['dual identity', ""love of one's life"", 'pizza boy', 'marvel comic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death']",2004-06-25,2004.0,200000000,783766341,127.0,35.149586,6.7,4321,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Alfred Molina', 'Rosemary Harris']",en,Released,action adventure fantasy dual identity love of one's life pizza boy marvel comic sequel tobey maguire kirsten dunst james franco columbia pictures laura ziskin productions
68721,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Unleash the power behind the armor.,Action|Adventure|Science Fiction,"['Action', 'Adventure', 'Science Fiction']","['terrorist', 'war on terror', 'tennessee', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger']",2013-04-18,2013.0,200000000,1215439994,130.0,77.68208,6.8,8806,['Marvel Studios'],"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall']",en,Released,action adventure science fiction terrorist war on terror tennessee malibu marvel comic robert downey jr. gwyneth paltrow don cheadle marvel studios
